# ApertureRA_1 ApertureDec_1 Magnitude_1 Vmag               ApertureRA_2 ApertureDec_2 Magnitude_2 imag               Separation         
  114.491885   21.764378     -8.3757     15.242542003051756 114.491945   21.764278     -11.7249    14.934099754333495 0.41211830822660245
  114.614205   21.766097     -7.8663     15.751941893951415 114.614192   21.766044     -13.0169    13.642099937438964 0.19568778444805487
  114.723571   21.767146     -8.474      15.144242022888182 114.72352    21.76712      -11.6334    15.025600036621093 0.1945104293512231 
  114.560381   21.764315     -7.5132     16.10504219378662  114.560307   21.764416     -10.9267    15.7323003616333   0.4397916788295651 
  114.739533   21.766118     -7.4715     16.14674208010864  114.739694   21.766097     -10.6663    15.99270018005371  0.5435606240154267 
  114.5531     21.761946     -8.4901     15.128142093078612 114.55302    21.762044     -11.8487    14.81030043029785  0.4427308554097935 
  114.528166   21.760546     -8.1431     15.475142215148924 114.528254   21.760462     -11.3921    15.266899665832518 0.42191742159657264
  114.461003   21.759385     -8.715      14.903241847412108 114.461043   21.759269     -12.1082    14.550799926757811 0.43849300738146746
  114.706943   21.762582     -7.9009     15.717342112915038 114.707049   21.762728     -11.1304    15.528600296020507 0.6339215101518437 
  114.713331   21.761962     -11.2888    12.32944176043701  114.713449   21.761936     -15.0473    11.611699661254882 0.4054766324255278 
  114.549183   21.748815     -8.8936     14.724641536132811 114.549288   21.748911     -12.244     14.41499956512451  0.4926515072332538 
  114.722898   21.749695     -7.8912     15.727041934387206 114.723021   21.749669     -11.0364    15.622600158691405 0.4217942305142893 
  114.469163   21.742426     -9.2655     14.352741931335448 114.469216   21.742308     -12.4638    14.195199569702147 0.46028707822511733
  114.550812   21.740818     -7.3162     16.3020422204895   114.550922   21.740738     -10.6318    16.027200302124022 0.4671664852973584 
  114.767467   21.742201     -10.0203    13.597942088500975 114.767652   21.742182     -13.3714    13.287600120544433 0.6223907470488846 
  114.646872   21.740718     -7.3153     16.30294201220703  114.647078   21.740673     -10.72      15.93899973297119  0.7076425808334489 
  114.640873   21.740466     -7.6193     15.998942111389159 114.641071   21.740419     -11.0537    15.60529955291748  0.6833771930865983 
  114.490132   21.733846     -8.358      15.260242198364256 114.4902     21.733736     -11.6282    15.030800422668456 0.45664642332327254
  114.709025   21.736793     -7.6391     15.979141925231932 114.70912    21.736762     -10.9455    15.713499626159667 0.3367142406369668 
  114.609661   21.732905     -8.8609     14.757342074768065 114.609822   21.73302      -12.0682    14.590799888610839 0.6791704951076021 
  114.448023   21.727119     -8.0585     15.559741710083006 114.448071   21.727158     -11.3669    15.292099555969237 0.2132605428795036 
  114.498687   21.726999     -8.6015     15.016742442504881 114.498574   21.726887     -11.9926    14.666399559020995 0.5526110025726569 
  114.440225   21.72212      -8.9246     14.693642352478026 114.440272   21.722154     -12.3225    14.336499771118163 0.19922073013966002
  114.549414   21.722667     -9.1462     14.472041819946288 114.549333   21.722752     -12.3379    14.321099838256835 0.40867913991273225
  114.549803   21.721801     -9.1463     14.471941684143065 114.549725   21.721711     -12.3393    14.31969984436035  0.4159620808847979 
  114.724599   21.724075     -10.0482    13.57004234637451  114.724706   21.724045     -13.4028    13.256200393676757 0.37378458480260873
  114.452279   21.71934      -8.9098     14.708442424194335 114.452335   21.719204     -12.0773    14.58169992828369  0.5241993620009492 
  114.40425    21.718953     -7.3163     16.301942084686278 114.404292   21.718789     -10.8289    15.83009966278076  0.6068797049281722 
  114.621861   21.720512     -8.4015     15.216742251770018 114.622034   21.720453     -11.8353    14.823699554443358 0.61633611333303   
  114.597678   21.719493     -7.5186     16.09964201296997  114.597827   21.719425     -11.1077    15.551299652099608 0.555201935356912  
  114.741214   21.716774     -9.2948     14.323442195312499 114.741337   21.716919     -12.3406    14.318399986267089 0.6646132056595353 
  114.640178   21.712731     -10.0363    13.581942294494628 114.640179   21.712672     -12.9572    13.701799949645995 0.21242633130375857
  114.641295   21.713268     -10.0363    13.581942294494628 114.641485   21.713213     -12.9587    13.700299819946288 0.6656003723732208 
  114.596872   21.711113     -7.7235     15.894742225067137 114.596641   21.71121      -11.7076    14.95140036010742  0.8478571836693611 
  114.682049   21.70995      -8.9253     14.692942355529784 114.682094   21.709903     -12.5347    14.124299606323241 0.22645447275067354
  114.604985   21.708083     -8.944      14.674241755859374 114.604952   21.70801      -12.2925    14.36650045776367  0.28503759744051815
  114.725203   21.708909     -11.9875    11.630741809265135 114.725298   21.709047     -15.1639    11.495099624633788 0.5897212774233226 
  114.67477    21.707592     -7.7593     15.858941768066405 114.674806   21.707542     -11.3408    15.318199714660643 0.2165603562124784 
  114.734035   21.707793     -7.7125     15.905741904632567 114.734143   21.707759     -10.9708    15.688199600219725 0.38140119533784617
  114.45348    21.703323     -8.4557     15.162542079345702 114.453543   21.703354     -13.473     13.186000427246093 0.2384501660337648 
  114.565082   21.704753     -9.2209     14.397342418090819 114.565017   21.704663     -13.0369    13.622100433349608 0.3901833795269959 
  114.63148    21.70512      -10.2032    13.415041659729003 114.63147    21.705055     -13.5547    13.104300102233886 0.23637838587345   
  114.678767   21.703805     -7.9746     15.643642161743163 114.678803   21.70393      -11.1767    15.4823003616333   0.4658316575623485 
  114.580717   21.700609     -7.5583     16.05994198168945  114.580661   21.700697     -10.9794    15.67960031890869  0.36803278261765576
  114.478919   21.696555     -7.5948     16.023442004577635 114.478996   21.696422     -11.2406    15.418400367736815 0.5436796264597794 
  114.614349   21.697049     -9.6107     14.00754234637451  114.614319   21.697149     -13.4191    13.239900192260741 0.3737242154954871 
