# ApertureRA_1 ApertureDec_1 Magnitude_1 Bmag               ApertureRA_2 ApertureDec_2 Magnitude_2 imag               Separation           
  114.709036   21.770332     -9.0988     14.87539429449463  114.709003   21.770428     -12.4913    14.167700370788573 0.3627828371194795   
  114.691585   21.770108     -8.6883     15.285893867248536 114.69172    21.770209     -12.5442    14.114800056457518 0.579578293295264    
  114.596826   21.768867     -9.4478     14.526394317382813 114.596865   21.768944     -14.6558    12.003200134277343 0.30633443982655234  
  114.491801   21.764477     -8.1822     15.79199356817627  114.491945   21.764278     -11.7249    14.934099754333495 0.8631453179775597   
  114.723537   21.767031     -8.3795     15.59469361090088  114.72352    21.76712      -11.6334    15.025600036621093 0.3254021119975521   
  114.560112   21.764542     -7.2301     16.74409384512329  114.560307   21.764416     -10.9267    15.7323003616333   0.794231017319913    
  114.739504   21.766014     -7.2102     16.76399416708374  114.739694   21.766097     -10.6663    15.99270018005371  0.7020003872197791   
  114.552835   21.762005     -8.2345     15.739694068664551 114.55302    21.762044     -11.8487    14.81030043029785  0.6342697735852856   
  114.528277   21.760452     -8.1165     15.85769409918213  114.528254   21.760462     -11.3921    15.266899665832518 0.0849092682985115   
  114.499949   21.759888     -7.4903     16.48389382147217  114.499906   21.759865     -11.6101    15.04890020751953  0.16590841944676257  
  114.461303   21.759176     -8.4512     15.522994468444825 114.461043   21.759269     -12.1082    14.550799926757811 0.93155286747246     
  114.7069     21.762638     -7.7838     16.19039387487793  114.707049   21.762728     -11.1304    15.528600296020507 0.5942632277499813   
  114.71329    21.762022     -10.7569    13.217294166320801 114.713449   21.761936     -15.0473    11.611699661254882 0.6151888688705983   
  114.5493     21.748894     -8.6585     15.315694282287598 114.549288   21.748911     -12.244     14.41499956512451  0.07318091239532727  
  114.723049   21.749426     -7.6669     16.307293842071534 114.723021   21.749669     -11.0364    15.622600158691405 0.8797957428678578   
  114.469289   21.742396     -9.1676     14.80659432196045  114.469216   21.742308     -12.4638    14.195199569702147 0.399936338274593    
  114.550745   21.740901     -7.3123     16.661893794769288 114.550922   21.740738     -10.6318    16.027200302124022 0.8334570046612744   
  114.767625   21.742142     -9.8381     14.136093566650391 114.767652   21.742182     -13.3714    13.287600120544433 0.16996299604309473  
  114.641003   21.740357     -7.4794     16.494793842071534 114.641071   21.740419     -11.0537    15.60529955291748  0.3186274448189443   
  114.492293   21.735748     -7.9386     16.035593936676026 114.492423   21.735514     -11.6962    14.962799629211425 0.9479582048904585   
  114.708976   21.736876     -7.5365     16.437694022888184 114.70912    21.736762     -10.9455    15.713499626159667 0.6326989950190407   
  114.490263   21.733804     -8.1961     15.778093765014649 114.4902     21.733736     -11.6282    15.030800422668456 0.3229739576695075   
  114.609789   21.732805     -8.7916     15.182593772644044 114.609822   21.73302      -12.0682    14.590799888610839 0.7818275898676275   
  114.448166   21.727123     -7.9294     16.044794032806397 114.448071   21.727158     -11.3669    15.292099555969237 0.3417769051755148   
  114.498822   21.726955     -8.3526     15.62159390234375  114.498574   21.726887     -11.9926    14.666399559020995 0.864747867103812    
  114.440374   21.722138     -8.6893     15.284894416564942 114.440272   21.722154     -12.3225    14.336499771118163 0.34595376801632133  
  114.549355   21.722766     -8.9589     15.015293548339844 114.549333   21.722752     -12.3379    14.321099838256835 0.08918261037893915  
