# ApertureRA_1 ApertureDec_1 Magnitude_1 Bmag               ApertureRA_2 ApertureDec_2 Magnitude_2 Vmag               Separation          
  114.708973   21.770341     -12.0045    14.880497610900878 114.709151   21.770389     -12.3759    14.346638731445314 0.6196772962284076  
  114.581598   21.768658     -10.2227    16.662297880981445 114.581649   21.76844      -11.0189    15.703639082397462 0.803108842727559   
  114.491907   21.764429     -11.0853    15.799697554443359 114.491837   21.764357     -11.5179    15.204638533081056 0.3492244881418846  
  114.614299   21.765966     -9.8461     17.038898146484375 114.614171   21.765936     -11.0017    15.720838598693849 0.44136537586836516 
  114.723648   21.767039     -11.283     15.601998007629394 114.723675   21.767097     -11.5921    15.130438856567384 0.227477542943847   
  114.560262   21.764529     -10.1788    16.706198370788574 114.560322   21.764301     -10.6674    16.05513863989258  0.8449580410760071  
  114.509954   21.76347      -9.0091     17.87589803967285  114.509862   21.763399     -9.7449     16.977639250244142 0.39993096380507925 
  114.739598   21.766191     -10.1126    16.772397673461914 114.739665   21.766267     -10.5135    16.209038786376954 0.3536022417798334  
  114.703609   21.765216     -9.9228     16.962197935913085 114.703596   21.765255     -10.4378    16.284738592590333 0.14697364038760938 
  114.55298    21.761988     -11.1375    15.747498190734863 114.553043   21.76193      -11.6091    15.113438658203126 0.29658920822317714 
  114.495521   21.761694     -7.7654     19.11959806713867  114.495449   21.761621     -8.9417     17.780839018310548 0.3563898939470795  
  114.528408   21.760422     -11.0172    15.867797530029296 114.528301   21.760354     -11.3686    15.353939108337403 0.4334895787436448  
  114.499869   21.760014     -10.3909    16.494098341796875 114.499793   21.759941     -11.1012    15.621338896240236 0.36555848422524934 
  114.713407   21.762027     -13.6669    13.218098318908691 114.713418   21.762074     -14.4452    12.277339033569337 0.1731509297053306  
  114.707022   21.762644     -10.7036    16.18139807019043  114.707019   21.762685     -11.0554    15.667139105285646 0.1479404139549631  
  114.461184   21.759276     -11.371     15.513997710083007 114.460984   21.759198     -11.8769    14.84563928076172  0.7252641852298981  
  114.553938   21.760781     -11.1375    15.747498190734863 114.553814   21.760721     -11.6096    15.11293893286133  0.46748313894306914 
  114.746968   21.762097     -9.0546     17.83039823803711  114.74706    21.76218      -10.2485    16.474039129699708 0.4288316273193544  
  114.6761     21.761028     -7.7787     19.10629812512207  114.676044   21.761041     -8.6136     18.10893922277832  0.19299395503401623 
  114.719267   21.758788     -8.5272     18.357798254821777 114.719295   21.75884      -9.0815     17.64103894659424  0.20930412755940583 
  114.60657    21.756101     -7.8756     19.00939813885498  114.60645    21.756063     -8.5731     18.149438909973146 0.42390887610618183 
  114.729045   21.756818     -8.4139     18.47109762463379  114.729099   21.756879     -9.0232     17.699338964904786 0.28429416492883125 
  114.700017   21.75436      -8.2113     18.673698103759765 114.700202   21.75422      -9.0531     17.669439367736818 0.7978992507950167  
  114.705079   21.754424     -8.1582     18.72679773602295  114.705083   21.754461     -8.7219     18.00063901373291  0.13386977158765762 
  114.513719   21.751501     -8.7579     18.12709776196289  114.513634   21.751426     -9.2097     17.512839369262696 0.3920164931659989  
  114.418534   21.748189     -8.3084     18.57659784588623  114.418627   21.748114     -8.6803     18.04223924108887  0.4118276254062231  
  114.549249   21.748865     -11.5644    15.320598280761718 114.549139   21.748799     -12.04      14.682539038146974 0.43788025091671845 
  114.643817   21.749798     -8.1538     18.731197989318847 114.643735   21.749608     -8.5353     18.187238745178224 0.7369080640384966  
  114.722962   21.749592     -10.628     16.256997740600585 114.723011   21.749646     -10.973     15.749539427246095 0.25423553073779515 
  114.63484    21.747937     -8.1344     18.750597632263183 114.63494    21.747742     -8.7976     17.924939207519532 0.7775677610921716  
  114.725416   21.748402     -7.6454     19.239597952697753 114.725282   21.74863      -8.745      17.97753911444092  0.9351323525070732  
  114.725991   21.747537     -7.6454     19.239597952697753 114.726047   21.747768     -8.745      17.97753911444092  0.8524209769222162  
  114.46917    21.742495     -12.0587    14.826298392150878 114.469156   21.742413     -12.4167    14.305838636840821 0.2988889990328881  
  114.476135   21.741551     -9.1471     17.7378975513916   114.476111   21.741469     -9.7068     17.01573853918457  0.3059145740727842  
  114.651411   21.743796     -9.3351     17.549897826049804 114.651342   21.743785     -9.9968     16.725738577331544 0.23409991537192984 
  114.557809   21.741839     -8.7017     18.18329778942871  114.557705   21.7416       -9.1019     17.620638899291993 0.9280245630856732  
  114.550879   21.740872     -10.1295    16.75549761090088  114.550779   21.74063      -10.5179    16.204638533081056 0.9331709905761377  
  114.767679   21.742118     -12.7225    14.16249815258789  114.767671   21.74222      -13.1681    13.554438642944337 0.36817314577495563 
  114.598175   21.740823     -8.2288     18.65619818005371  114.59826    21.740604     -8.8718     17.850738577331544 0.8380713467806775  
  114.719881   21.742229     -8.2427     18.64229837689209  114.719932   21.742279     -8.8304     17.892138533081056 0.24795851339508648 
  114.759992   21.742374     -8.6693     18.215697920654296 114.760148   21.742469     -9.1325     17.590039305175782 0.6237624207286468  
  114.647145   21.740602     -9.7528     17.13219801220703  114.646886   21.740584     -10.3353    16.38723855444336  0.868499526381364   
  114.640959   21.740347     -10.349     16.535998022888183 114.640882   21.740327     -10.82      15.902539305175782 0.26736055092802624 
  114.699271   21.741273     -9.0481     17.836897528503417 114.699282   21.741127     -9.6165     17.10603909918213  0.5268855258079054  
  114.492384   21.735688     -10.8553    16.029698050354003 114.49234    21.735605     -11.4118    15.310738615478517 0.3330631624084177  
  114.427218   21.734907     -8.3326     18.55239836010742  114.427112   21.734822     -8.7712     17.95133881994629  0.46827955048112035 
  114.717884   21.73767      -7.9743     18.910698092315673 114.717936   21.737717     -8.6605     18.062039427246095 0.2426225294389262  
  114.66502    21.736825     -8.7362     18.148797667358398 114.664979   21.736648     -9.0935     17.6290388626709   0.651783404700918   
  114.49016    21.733914     -11.1219    15.763098395202636 114.49012    21.73383      -11.5189    15.203639082397462 0.33066366316652607 
  114.709085   21.736863     -10.4849    16.40009752545166  114.709118   21.736901     -10.8352    15.887338690246583 0.17576105251458965 
  114.47739    21.733903     -8.4406     18.444397604797363 114.47737    21.733819     -9.2745     17.448039106811525 0.3097078223410404  
  114.593768   21.734662     -9.1448     17.740197813842773 114.593666   21.734612     -9.6231     17.099438719238282 0.38567607034933793 
  114.551178   21.733905     -9.8386     17.046397841308593 114.551081   21.733835     -10.2745    16.448039106811525 0.4107605762311496  
  114.440244   21.731268     -9.8252     17.059797919128417 114.440106   21.731355     -10.1834    16.53913884588623  0.5577361985980533  
  114.609743   21.73296      -11.7196    15.165398276184082 114.609649   21.732918     -12.0264    14.696139387573243 0.34881965014563165 
  114.602987   21.733044     -10.1622    16.72279802593994  114.603081   21.732826     -10.5571    16.165438703979493 0.8454139541571869  
  114.708958   21.732676     -9.3363     17.548698103759765 114.708996   21.732713     -9.9936     16.728939108337403 0.18409417332864234 
  114.483098   21.729456     -8.3261     18.55889765057373  114.483072   21.72937      -9.4002     17.322339109863282 0.32157781946838254 
  114.463565   21.729521     -7.7892     19.095798170898437 114.463572   21.729434     -8.6559     18.066638998474122 0.31407361777126536 
  114.571331   21.729477     -8.1232     18.761797583435058 114.571236   21.72924      -8.6534     18.069138578857423 0.9104298867223614  
  114.448015   21.727202     -10.8141    16.07089773449707  114.448054   21.727116     -11.2185    15.5040388626709   0.3359508815590781  
  114.498724   21.727067     -11.2931    15.591897642944335 114.49868    21.726808     -11.7714    14.951138548339845 0.9439396239173592  
  114.643196   21.72887      -8.9441     17.940897620056152 114.643133   21.72885      -9.4298     17.292738966430665 0.22264808451790985 
  114.476767   21.726228     -9.4056     17.47939840588379  114.476754   21.726141     -9.8043     16.918238691772462 0.316203033472466   
  114.522022   21.726004     -9.8838     17.00119844708252  114.521951   21.725923     -10.4223    16.300238661254884 0.3760451367275803  
  114.688592   21.727886     -7.8305     19.05449787411499  114.688596   21.727903     -8.567      18.15553861090088  0.06264488696270858 
  114.44021    21.722209     -11.5841    15.300898230407714 114.44027    21.722122     -12.0636    14.658939413513185 0.37196689014586104 
  114.640629   21.725001     -9.6924     17.192598021362304 114.640379   21.724976     -10.3754    16.347139410461427 0.8409042186139676  
  114.54948    21.722728     -11.7578    15.127197897766113 114.549394   21.722655     -12.3167    14.405839018310548 0.3895968455528693  
  114.549682   21.721859     -11.7567    15.128298437927246 114.549599   21.721612     -12.3167    14.405839018310548 0.931519670114472   
  114.724829   21.72398      -12.7744    14.110598242614746 114.724913   21.724033     -13.2028    13.519739202941896 0.3395913264744342  
  114.452282   21.719251     -11.729     15.155997908447265 114.452318   21.719162     -12.0628    14.659738592590333 0.34227503897637773 
  114.560951   21.721317     -8.5804     18.304597533081054 114.560674   21.721246     -9.2801     17.442439131225587 0.9610084160011434  
  114.404386   21.718888     -9.9976     16.887398398254394 114.404349   21.718802     -10.5476    16.174939207519532 0.33341385719624345 
  114.736283   21.722551     -9.928      16.956997549865722 114.736397   21.722617     -10.4128    16.309739164794923 0.44923270553566397 
  114.621939   21.720571     -11.1407    15.744297659729003 114.621866   21.720535     -11.5905    15.132039122070314 0.27640743438372406 
  114.724112   21.721704     -7.9152     18.969797766540527 114.724197   21.721756     -8.4255     18.29703908392334  0.3403736226623887  
  114.597755   21.719552     -9.7903     17.094697630737304 114.597672   21.719326     -10.5116    16.210939459289552 0.8596509038442007  
  114.681042   21.718548     -7.9102     18.974797880981445 114.680858   21.718381     -8.5384     18.184139303649903 0.860309294114483   
  114.749453   21.718875     -9.033      17.851998007629394 114.749607   21.718956     -9.5955     17.127039007629396 0.5918616892259201  
  114.720239   21.717296     -9.4995     17.385497725341796 114.72032    21.717344     -9.983      16.73953919836426  0.32132223550830485 
  114.741426   21.716685     -12.2276    14.65739790234375  114.741372   21.716753     -12.4481    14.274438909973146 0.30421088614621095 
  114.762779   21.717292     -8.9523     17.93269792828369  114.762974   21.717389     -9.4999     17.222639135803224 0.7397767112272856  
  114.598948   21.71521      -8.433      18.45199838909912  114.598867   21.715159     -9.0171     17.70543866583252  0.32726026013902665 
  114.640253   21.712618     -13.0013    13.883698141906738 114.640203   21.712594     -13.1747    13.547839216674806 0.1882301001511767  
  114.641555   21.713332     -13.0012    13.88379827770996  114.641509   21.713135     -13.1747    13.547839216674806 0.7256958911037592  
  114.756821   21.714604     -8.4306     18.4543978336792   114.757001   21.714693     -9.0174     17.70513921209717  0.6819678756299146  
  114.412995   21.709959     -7.7951     19.08989778790283  114.413127   21.709873     -8.2874     18.435138754333497 0.539229605255804   
  114.521338   21.710311     -9.1736     17.71139780316162  114.52128    21.710227     -9.6742     17.048338942016603 0.3592735837276125  
  114.59676    21.711171     -10.1475    16.737497961853027 114.596681   21.711119     -10.9202    15.80233865209961  0.32381878891256466 
  114.425625   21.70736      -8.6738     18.211197531555175 114.425727   21.707271     -9.5701     17.15243916937256  0.46802393388857255 
  114.682105   21.710018     -11.4965    15.38849798474121  114.682116   21.710028     -12.0712    14.651338629211427 0.05147411135011399 
  114.545765   21.70856      -9.4422     17.44279829296875  114.545692   21.708484     -9.9        16.822539381469728 0.3667040214024104  
